paper_id,original_root_pdf_name,original_output_basename,canonical_basename,canonical_pdf_path,canonical_json_path,canonical_markdown_path,canonical_chunks_path,title_extracted,first_author,year,naming_confidence,processing_status,notes
11,fspas-11-1390427.pdf,fspas-11-1390427,2024_aghabozorgi_magnetopause-location-ml-solar-wind-propagation,pdfs/2024_aghabozorgi_magnetopause-location-ml-solar-wind-propagation.pdf,json/2024_aghabozorgi_magnetopause-location-ml-solar-wind-propagation.json,markdown/2024_aghabozorgi_magnetopause-location-ml-solar-wind-propagation.md,chunks/2024_aghabozorgi_magnetopause-location-ml-solar-wind-propagation_chunks.json,magnetopause location ml solar wind propagation,aghabozorgi,2024,high,renamed,"Aghabozorgi Nafchi et al. 2024, Front. Astron. Space Sci."
12,fspas-11-1401078_compressed.pdf,fspas-11-1401078compressed,2024_pi_magnetosheath-spatial-profiles-imf-themis,pdfs/2024_pi_magnetosheath-spatial-profiles-imf-themis.pdf,json/2024_pi_magnetosheath-spatial-profiles-imf-themis.json,markdown/2024_pi_magnetosheath-spatial-profiles-imf-themis.md,chunks/2024_pi_magnetosheath-spatial-profiles-imf-themis_chunks.json,magnetosheath spatial profiles imf themis,pi,2024,high,renamed,"Pi et al. 2024, Front. Astron. Space Sci."
13,fspas-11-1427791_compressed.pdf,fspas-11-1427791compressed,2024_michottedewelle_magnetosheath-density-field-imf-orientation,pdfs/2024_michottedewelle_magnetosheath-density-field-imf-orientation.pdf,json/2024_michottedewelle_magnetosheath-density-field-imf-orientation.json,markdown/2024_michottedewelle_magnetosheath-density-field-imf-orientation.md,chunks/2024_michottedewelle_magnetosheath-density-field-imf-orientation_chunks.json,magnetosheath density field imf orientation,michottedewelle,2024,high,renamed,"Michotte de Welle et al. 2024, Front. Astron. Space Sci."
14,geophysical-research-letters-2003-robertson-x-ray-emission-from-the-terrestrial-magnetosheath.pdf,geophysical-research-letters-2003-robertson-x-ray-emission-from-the-terrestrial-magnetosheath,2003_robertson_xray-emission-terrestrial-magnetosheath,pdfs/2003_robertson_xray-emission-terrestrial-magnetosheath.pdf,json/2003_robertson_xray-emission-terrestrial-magnetosheath.json,markdown/2003_robertson_xray-emission-terrestrial-magnetosheath.md,chunks/2003_robertson_xray-emission-terrestrial-magnetosheath_chunks.json,xray emission terrestrial magnetosheath,robertson,2003,high,renamed,"Robertson & Cravens 2003, GRL."
15,investigationoftheoccurrenc.pdf,investigationoftheoccurrenc,2024_grimmich_magnetopause-deviation-solar-wind-foreshock,pdfs/2024_grimmich_magnetopause-deviation-solar-wind-foreshock.pdf,json/2024_grimmich_magnetopause-deviation-solar-wind-foreshock.json,markdown/2024_grimmich_magnetopause-deviation-solar-wind-foreshock.md,chunks/2024_grimmich_magnetopause-deviation-solar-wind-foreshock_chunks.json,magnetopause deviation solar wind foreshock,grimmich,2024,high,renamed,"Grimmich et al. 2024, truncated original filename."
16,jgr-space-physics-2015-soucek-magnetosheath-plasma-stability-and-ulf-wave-occurrence-as-a-function-of-location-in-the.pdf,jgr-space-physics-2015-soucek-magnetosheath-plasma-stability-and-ulf-wave-occurrence-as-a-function-of-location-in-the,2015_soucek_magnetosheath-plasma-stability-ulf-waves,pdfs/2015_soucek_magnetosheath-plasma-stability-ulf-waves.pdf,json/2015_soucek_magnetosheath-plasma-stability-ulf-waves.json,markdown/2015_soucek_magnetosheath-plasma-stability-ulf-waves.md,chunks/2015_soucek_magnetosheath-plasma-stability-ulf-waves_chunks.json,magnetosheath plasma stability ulf waves,soucek,2015,high,renamed,"Soucek et al. 2015, JGR Space Physics."
17,jgr-space-physics-2017-rezeau-analyzing-the-magnetopause-internal-structure-new-possibilities-offered-by-mms-tested.pdf,jgr-space-physics-2017-rezeau-analyzing-the-magnetopause-internal-structure-new-possibilities-offered-by-mms-tested,2017_rezeau_magnetopause-internal-structure-mms,pdfs/2017_rezeau_magnetopause-internal-structure-mms.pdf,json/2017_rezeau_magnetopause-internal-structure-mms.json,markdown/2017_rezeau_magnetopause-internal-structure-mms.md,chunks/2017_rezeau_magnetopause-internal-structure-mms_chunks.json,magnetopause internal structure mms,rezeau,2017,high,renamed,"Rezeau et al. 2017, JGR Space Physics."
18,jgr-space-physics-2018-denton-determining-l-m-n-current-sheet-coordinates-at-the-magnetopause-from-magnetospheric.pdf,jgr-space-physics-2018-denton-determining-l-m-n-current-sheet-coordinates-at-the-magnetopause-from-magnetospheric,2018_denton_lmn-current-sheet-coordinates-magnetopause,pdfs/2018_denton_lmn-current-sheet-coordinates-magnetopause.pdf,json/2018_denton_lmn-current-sheet-coordinates-magnetopause.json,markdown/2018_denton_lmn-current-sheet-coordinates-magnetopause.md,chunks/2018_denton_lmn-current-sheet-coordinates-magnetopause_chunks.json,lmn current sheet coordinates magnetopause,denton,2018,high,renamed,"Denton et al. 2018, JGR Space Physics."
19,jgr-space-physics-2019-sun-soft-x-ray-imaging-of-the-magnetosheath-and-cusps-under-different-solar-wind-conditions.pdf,jgr-space-physics-2019-sun-soft-x-ray-imaging-of-the-magnetosheath-and-cusps-under-different-solar-wind-conditions,2019_sun_soft-xray-imaging-magnetosheath-cusps-mhd,pdfs/2019_sun_soft-xray-imaging-magnetosheath-cusps-mhd.pdf,json/2019_sun_soft-xray-imaging-magnetosheath-cusps-mhd.json,markdown/2019_sun_soft-xray-imaging-magnetosheath-cusps-mhd.md,chunks/2019_sun_soft-xray-imaging-magnetosheath-cusps-mhd_chunks.json,soft xray imaging magnetosheath cusps mhd,sun,2019,high,renamed,"Sun et al. 2019, JGR Space Physics."
20,jgr-space-physics-2019-walsh-quantifying-the-uncertainty-of-using-solar-wind-measurements-for-geospace-inputs.pdf,jgr-space-physics-2019-walsh-quantifying-the-uncertainty-of-using-solar-wind-measurements-for-geospace-inputs,2019_walsh_solar-wind-measurement-uncertainty-geospace,pdfs/2019_walsh_solar-wind-measurement-uncertainty-geospace.pdf,json/2019_walsh_solar-wind-measurement-uncertainty-geospace.json,markdown/2019_walsh_solar-wind-measurement-uncertainty-geospace.md,chunks/2019_walsh_solar-wind-measurement-uncertainty-geospace_chunks.json,solar wind measurement uncertainty geospace,walsh,2019,high,renamed,"Walsh et al. 2019, JGR Space Physics."
21,jgr-space-physics-2020-raptis-classifying-magnetosheath-jets-using-mms-statistical-properties.pdf,jgr-space-physics-2020-raptis-classifying-magnetosheath-jets-using-mms-statistical-properties,2020_raptis_classifying-magnetosheath-jets-mms,pdfs/2020_raptis_classifying-magnetosheath-jets-mms.pdf,json/2020_raptis_classifying-magnetosheath-jets-mms.json,markdown/2020_raptis_classifying-magnetosheath-jets-mms.md,chunks/2020_raptis_classifying-magnetosheath-jets-mms_chunks.json,classifying magnetosheath jets mms,raptis,2020,high,renamed,"Raptis et al. 2020, JGR Space Physics."
22,jgr-space-physics-2020-staples-do-statistical-models-capture-the-dynamics-of-the-magnetopause-during-sudden.pdf,jgr-space-physics-2020-staples-do-statistical-models-capture-the-dynamics-of-the-magnetopause-during-sudden,2020_staples_statistical-models-magnetopause-compressions,pdfs/2020_staples_statistical-models-magnetopause-compressions.pdf,json/2020_staples_statistical-models-magnetopause-compressions.json,markdown/2020_staples_statistical-models-magnetopause-compressions.md,chunks/2020_staples_statistical-models-magnetopause-compressions_chunks.json,statistical models magnetopause compressions,staples,2020,high,renamed,"Staples et al. 2020, JGR Space Physics."
23,jgr-space-physics-2025-jiang-spatial-dependence-of-ion-kinetic-instabilities-in-the-earth-s-magnetosheath-mms.pdf,jgr-space-physics-2025-jiang-spatial-dependence-of-ion-kinetic-instabilities-in-the-earth-s-magnetosheath-mms,2025_jiang_ion-kinetic-instabilities-magnetosheath-mms,pdfs/2025_jiang_ion-kinetic-instabilities-magnetosheath-mms.pdf,json/2025_jiang_ion-kinetic-instabilities-magnetosheath-mms.json,markdown/2025_jiang_ion-kinetic-instabilities-magnetosheath-mms.md,chunks/2025_jiang_ion-kinetic-instabilities-magnetosheath-mms_chunks.json,ion kinetic instabilities magnetosheath mms,jiang,2025,high,renamed,"Jiang et al. 2025, JGR Space Physics."
24,jgra-128-e2022ja031221.pdf,jgra-128-e2022ja031221,2023_blancocano_jets-mirror-mode-waves-magnetosheath,pdfs/2023_blancocano_jets-mirror-mode-waves-magnetosheath.pdf,json/2023_blancocano_jets-mirror-mode-waves-magnetosheath.json,markdown/2023_blancocano_jets-mirror-mode-waves-magnetosheath.md,chunks/2023_blancocano_jets-mirror-mode-waves-magnetosheath_chunks.json,jets mirror mode waves magnetosheath,blancocano,2023,high,renamed,"Blanco-Cano et al. 2023, JGR Space Physics."
25,journal-of-geophysical-research-1896-1977-1-april-1976-zwan-depletion-of-solar-wind-plasma-near-a-planetary-boundary.pdf,journal-of-geophysical-research-1896-1977-1-april-1976-zwan-depletion-of-solar-wind-plasma-near-a-planetary-boundary,1976_zwan_solar-wind-plasma-depletion-planetary-boundary,pdfs/1976_zwan_solar-wind-plasma-depletion-planetary-boundary.pdf,json/1976_zwan_solar-wind-plasma-depletion-planetary-boundary.json,markdown/1976_zwan_solar-wind-plasma-depletion-planetary-boundary.md,chunks/1976_zwan_solar-wind-plasma-depletion-planetary-boundary_chunks.json,solar wind plasma depletion planetary boundary,zwan,1976,high,renamed,"Zwan & Wolf 1976, JGR."
26,journal-of-geophysical-research-space-physics-1-april-1994-anderson-magnetic-spectral-signatures-in-the-earth-s.pdf,journal-of-geophysical-research-space-physics-1-april-1994-anderson-magnetic-spectral-signatures-in-the-earth-s,1994_anderson_magnetic-spectral-signatures-magnetosheath-pdl,pdfs/1994_anderson_magnetic-spectral-signatures-magnetosheath-pdl.pdf,json/1994_anderson_magnetic-spectral-signatures-magnetosheath-pdl.json,markdown/1994_anderson_magnetic-spectral-signatures-magnetosheath-pdl.md,chunks/1994_anderson_magnetic-spectral-signatures-magnetosheath-pdl_chunks.json,magnetic spectral signatures magnetosheath pdl,anderson,1994,high,renamed,"Anderson et al. 1994, JGR."
27,journal-of-geophysical-research-space-physics-1-march-1979-crooker-observations-of-plasma-depletion-in-the.pdf,journal-of-geophysical-research-space-physics-1-march-1979-crooker-observations-of-plasma-depletion-in-the,1979_crooker_plasma-depletion-observations-dayside-magnetopause,pdfs/1979_crooker_plasma-depletion-observations-dayside-magnetopause.pdf,json/1979_crooker_plasma-depletion-observations-dayside-magnetopause.json,markdown/1979_crooker_plasma-depletion-observations-dayside-magnetopause.md,chunks/1979_crooker_plasma-depletion-observations-dayside-magnetopause_chunks.json,plasma depletion observations dayside magnetopause,crooker,1979,high,renamed,"Crooker et al. 1979, JGR."
28,journal-of-geophysical-research-space-physics-1997-anderson-relationships-between-plasma-depletion-and-subsolar.pdf,journal-of-geophysical-research-space-physics-1997-anderson-relationships-between-plasma-depletion-and-subsolar,1997_anderson_plasma-depletion-subsolar-reconnection,pdfs/1997_anderson_plasma-depletion-subsolar-reconnection.pdf,json/1997_anderson_plasma-depletion-subsolar-reconnection.json,markdown/1997_anderson_plasma-depletion-subsolar-reconnection.md,chunks/1997_anderson_plasma-depletion-subsolar-reconnection_chunks.json,plasma depletion subsolar reconnection,anderson,1997,high,renamed,"Anderson et al. 1997, JGR."
29,journal-of-geophysical-research-space-physics-1998-shue-magnetopause-location-under-extreme-solar-wind-conditions.pdf,journal-of-geophysical-research-space-physics-1998-shue-magnetopause-location-under-extreme-solar-wind-conditions,1998_shue_magnetopause-location-extreme-solar-wind,pdfs/1998_shue_magnetopause-location-extreme-solar-wind.pdf,json/1998_shue_magnetopause-location-extreme-solar-wind.json,markdown/1998_shue_magnetopause-location-extreme-solar-wind.md,chunks/1998_shue_magnetopause-location-extreme-solar-wind_chunks.json,magnetopause location extreme solar wind,shue,1998,high,renamed,"Shue et al. 1998, JGR. Key Shue98 model paper."
30,journal-of-geophysical-research-space-physics-2005-king-solar-wind-spatial-scales-in-and-comparisons-of-hourly-wind.pdf,journal-of-geophysical-research-space-physics-2005-king-solar-wind-spatial-scales-in-and-comparisons-of-hourly-wind,2005_king_solar-wind-spatial-scales-wind-ace-omni,pdfs/2005_king_solar-wind-spatial-scales-wind-ace-omni.pdf,json/2005_king_solar-wind-spatial-scales-wind-ace-omni.json,markdown/2005_king_solar-wind-spatial-scales-wind-ace-omni.md,chunks/2005_king_solar-wind-spatial-scales-wind-ace-omni_chunks.json,solar wind spatial scales wind ace omni,king,2005,high,renamed,"King & Papitashvili 2005, JGR. OMNI dataset paper."
31,journal-of-geophysical-research-space-physics-2005-merka-three-dimensional-position-and-shape-of-the-bow-shock-and.pdf,journal-of-geophysical-research-space-physics-2005-merka-three-dimensional-position-and-shape-of-the-bow-shock-and,2005_merka_bow-shock-3d-position-shape-mach-number,pdfs/2005_merka_bow-shock-3d-position-shape-mach-number.pdf,json/2005_merka_bow-shock-3d-position-shape-mach-number.json,markdown/2005_merka_bow-shock-3d-position-shape-mach-number.md,chunks/2005_merka_bow-shock-3d-position-shape-mach-number_chunks.json,bow shock 3d position shape mach number,merka,2005,high,renamed,"Merka et al. 2005, JGR."
32,journal-of-geophysical-research-space-physics-2008-soucek-properties-of-magnetosheath-mirror-modes-observed-by.pdf,journal-of-geophysical-research-space-physics-2008-soucek-properties-of-magnetosheath-mirror-modes-observed-by,2008_soucek_magnetosheath-mirror-modes-cluster,pdfs/2008_soucek_magnetosheath-mirror-modes-cluster.pdf,json/2008_soucek_magnetosheath-mirror-modes-cluster.json,markdown/2008_soucek_magnetosheath-mirror-modes-cluster.md,chunks/2008_soucek_magnetosheath-mirror-modes-cluster_chunks.json,magnetosheath mirror modes cluster,soucek,2008,high,renamed,"Soucek et al. 2008, JGR."
33,journal-of-geophysical-research-space-physics-2009-li-cold-dense-magnetopause-boundary-layer-under-northward-imf.pdf,journal-of-geophysical-research-space-physics-2009-li-cold-dense-magnetopause-boundary-layer-under-northward-imf,2009_li_cold-dense-magnetopause-boundary-northward-imf,pdfs/2009_li_cold-dense-magnetopause-boundary-northward-imf.pdf,json/2009_li_cold-dense-magnetopause-boundary-northward-imf.json,markdown/2009_li_cold-dense-magnetopause-boundary-northward-imf.md,chunks/2009_li_cold-dense-magnetopause-boundary-northward-imf_chunks.json,cold dense magnetopause boundary northward imf,li,2009,high,renamed,"Li et al. 2009, JGR."
34,journal-of-geophysical-research-space-physics-2009-plaschke-statistical-study-of-the-magnetopause-motion-first.pdf,journal-of-geophysical-research-space-physics-2009-plaschke-statistical-study-of-the-magnetopause-motion-first,2009_plaschke_magnetopause-motion-statistical-study-themis,pdfs/2009_plaschke_magnetopause-motion-statistical-study-themis.pdf,json/2009_plaschke_magnetopause-motion-statistical-study-themis.json,markdown/2009_plaschke_magnetopause-motion-statistical-study-themis.md,chunks/2009_plaschke_magnetopause-motion-statistical-study-themis_chunks.json,magnetopause motion statistical study themis,plaschke,2009,high,renamed,"Plaschke et al. 2009, JGR."
35,s11214-021-00865-0.pdf,s11214-021-00865-0,2022_zhang_dayside-transient-phenomena-magnetosphere-ionosphere,pdfs/2022_zhang_dayside-transient-phenomena-magnetosphere-ionosphere.pdf,json/2022_zhang_dayside-transient-phenomena-magnetosphere-ionosphere.json,markdown/2022_zhang_dayside-transient-phenomena-magnetosphere-ionosphere.md,chunks/2022_zhang_dayside-transient-phenomena-magnetosphere-ionosphere_chunks.json,dayside transient phenomena magnetosphere ionosphere,zhang,2022,high,renamed,"Zhang et al. 2022, Space Sci. Rev. Review paper."
36,space-weather-2019-vokhmyanin-on-the-evaluation-of-data-quality-in-the-omni-interplanetary-magnetic-field-database.pdf,space-weather-2019-vokhmyanin-on-the-evaluation-of-data-quality-in-the-omni-interplanetary-magnetic-field-database,2019_vokhmyanin_omni-imf-data-quality-evaluation,pdfs/2019_vokhmyanin_omni-imf-data-quality-evaluation.pdf,json/2019_vokhmyanin_omni-imf-data-quality-evaluation.json,markdown/2019_vokhmyanin_omni-imf-data-quality-evaluation.md,chunks/2019_vokhmyanin_omni-imf-data-quality-evaluation_chunks.json,omni imf data quality evaluation,vokhmyanin,2019,high,renamed,"Vokhmyanin et al. 2019, Space Weather."
37,steegen-et-al-2016-increasing-transparency-through-a-multiverse-analysis.pdf,steegen-et-al-2016-increasing-transparency-through-a-multiverse-analysis,2016_steegen_multiverse-analysis-transparency,pdfs/2016_steegen_multiverse-analysis-transparency.pdf,json/2016_steegen_multiverse-analysis-transparency.json,markdown/2016_steegen_multiverse-analysis-transparency.md,chunks/2016_steegen_multiverse-analysis-transparency_chunks.json,multiverse analysis transparency,steegen,2016,high,renamed,"Steegen et al. 2016, Perspectives on Psychological Science."
